Author 1,Author 2,Weights
Eric Breck,Akshay Naresh Modi,1.0
Heng-Tze Cheng,Akshay Naresh Modi,1.0
Akshay Naresh Modi,Jarek Wilkiewicz,1.0
Levent Koc 0001,Akshay Naresh Modi,1.0
Lukasz Lew,Akshay Naresh Modi,1.0
Akshay Naresh Modi,Martin Wicke,1.0
Akshay Naresh Modi,Martin Zinkevich,1.0
Mustafa Ispir,Akshay Naresh Modi,1.0
Akshay Naresh Modi,Neoklis Polyzotis,1.0
Noah Fiedel,Akshay Naresh Modi,1.0
Salem Haykal,Akshay Naresh Modi,1.0
Akshay Naresh Modi,Steven Euijong Whang,1.0
Akshay Naresh Modi,Sudip Roy 0002,1.0
Akshay Naresh Modi,Sukriti Ramesh,1.0
Vihan Jain,Akshay Naresh Modi,1.0
Akshay Naresh Modi,Xin Zhang,1.0
Zakaria Haque,Akshay Naresh Modi,1.0
Parikshit Shah,Akshay Soni,1.0
Akshay Soni,Troy Chevalier,1.0
Maria Esteva,Alan C. Bovik,1.0
Sandra Sweat,Alan C. Bovik,1.0
Todd Richard Goodall,Alan C. Bovik,1.0
Alan Cullen,Bill Williams,1.0
Brian Rivera,Alan Cullen,1.0
Dinesh C. Verma,Alan Cullen,1.0
Elisa Bertino,Alan Cullen,1.0
Emil C. Lupu,Alan Cullen,1.0
Emil Lupu,Alan Cullen,1.0
Erisa Karafili,Alan Cullen,1.0
Gregory H. Cirincione,Alan Cullen,1.0
Maroun Touma,Alan Cullen,1.0
Saritha Arunkumar,Alan Cullen,2.0
Seraphin B. Calo,Alan Cullen,3.0
Alan Green,Alexandre Mah,1.0
Alexandrin Popescul,Alan Green,1.0
Alan Green,Cayden Meyer,1.0
Alan Green,Divanshu Garg,1.0
Julian Gibbons,Alan Green,1.0
Marc Najork,Alan Green,1.0
Alan Green,Michael Smith 0024,1.0
Mike Colagrosso,Alan Green,1.0
Alan Green,Reuben Kan,1.0
Sandeep Tata,Alan Green,1.0
Alan Leidner,Carsten Rönsdorf,1.0
Alan Leidner,George Percivall,1.0
Joshua Lieberman,Alan Leidner,1.0
Alan Ritter,Brendan O'Connor,1.0
Alexander Konovalov 0003,Alan Ritter,1.0
Benjamin Strauss,Alan Ritter,1.0
Mike Lakoju,Alan Serrano,1.0
Alban Siffer,Alexandre Termier,1.0
Alban Siffer,Christine Largouët,1.0
Alban Siffer,Pierre-Alain Fouque,1.0
Albert Bifet,Bernhard Pfahringer,1.0
Albert Bifet,Cheng He,1.0
Diego Marron,Albert Bifet,1.0
Eduard Ayguadé,Albert Bifet,1.0
Albert Bifet,Geoff Holmes 0001,1.0
Jacob Montiel,Albert Bifet,1.0
Jesse Read,Albert Bifet,1.0
Albert Bifet,Jiajin Zhang,1.0
Albert Bifet,Jianfeng Qian,1.0
Albert Bifet,Jianfeng Zhang,1.0
José R. Herrero,Albert Bifet,1.0
Albert Bifet,Talel Abdessalem,1.0
Albert Bifet,Wei Fan 0001,1.0
Albert van der Linde,Annette Bieniusa,1.0
Albert van der Linde,João Leitão 0001,1.0
Albert van der Linde,Nuno M. Preguiça,1.0
Albert van der Linde,Pedro Fouto,1.0
Albert van der Linde,Santiago J. Castiñeira,1.0
Alberto Falzone,Andrea Luciani,2.0
Demetrio Condello,Alberto Falzone,2.0
Giuseppe Bruno,Alberto Falzone,2.0
Alberto Messina,Alessio Bosca,1.0
Maurizio Montagnuolo,Alberto Messina,1.0
Alberto Messina,Nicolo Bidotti,1.0
Alberto Messina,Paolo Platter,1.0
Andrew Tomkins,Alborz Geramifard,1.0
Alborz Geramifard,Deepak Agarwal,1.0
Larry P. Heck,Alborz Geramifard,1.0
Muthu Muthukrishnan,Alborz Geramifard,1.0
Kaine Black,Alec Parise,1.0
Monica Wachowicz,Alec Parise,1.0
Alejandro Mottini,Rodrigo Acuna-Agost,1.0
Quinten McNamara,Alejandro de la Vega,1.0
Alejandro de la Vega,Tal Yarkoni,1.0
Aleksandar Bojchevski,Stephan Günnemann,1.0
Aleksandar Bojchevski,Yves Matkovic,1.0
